Index,Letter_Index,Day_Group,Letter_World,Letter_From,Letter_Info,Letter_Type(편지지 디자인),Dialogue_Group
1,Day1_Oriental,Day1,Oriental,어린 세자,고풍스러운 종이에 적힌 편지다.,,Day1_Oriental
2,Day1_Western,Day1,Western,용사가 된 검사,눅눅한 종이에 적힌 편지다.,,Day1_Western
3,Day1_Animal,Day1,Animal,도그 부부,금색 털이 잔뜩 붙어있는 편지다.,,Day1_Animal
4,Day1_Future,Day1,Future,영양 분석 연구원,검은 종이에 형광빛의 로고가 그려진 편지다.,,Day1_Future
5,Day2_Oriental,Day2,Oriental,공부해야 하는 양반,버석거리는 종이에 먹물이 묻어 있다.,,Day2_Oriental
6,Day2_Western,Day2,Western,혼자 있고 싶은 신관,새벽 풀내음이 나는 편지다.,,Day2_Western
7,Day2_Animal,Day2,Animal,사랑에 빠진 햄스터,아기자기한 스티커가 붙어있는 편지다.,,Day2_Animal
8,Day2_Future,Day2,Future,과거가 그리운 노인,먼지가 묻어나오는 낡은 편지다.,,Day2_Future
9,Day3_Oriental,Day3,Oriental,암행어사,돌돌 말려 있는 편지다. 묘하게 축축하다.,,Day3_Oriental
10,Day3_Western,Day3,Western,엘프 마법사,커다란 나뭇잎에 적힌 편지다. 글자에서 열매 향이 난다.,,Day3_Western
11,Day3_Animal,Day3,Animal,늙은 곰,정갈한 글씨체로 적힌 편지다.,,Day3_Animal
12,Day3_Future,Day3,Future,신체 개조 담당 연구원,검은 종이에 하얀 글씨로 적힌 편지다.,,Day3_Future
