Index,Letter_Index,Letter_World,Letter_From,Letter_Info,Letter_Type(편지지 디자인),Dialogue_Group
1,Day1_Oriental,Oriental,왕의 기대에 부응하려는 세자,건강에 좋지 않다는 이유로 간식을 금지당함. 달콤한 음식 요청,,Day1_Oriental
2,Day1_Western,Western,검사(인간),동료들과 친해질 수 있는 방법 조언 구함,,Day1_Western
3,Day1_Animal,Animal,고양이를 입양한 개 부부,고양이는 야행성. 밤에도 깨어있을 수 있는 물약 요청,,
4,Day1_Future,Future,음식을 만들어 팔려는 과학자,영양 알약을 최초로 만들어냄. 이제 곧 부자가 될 거라고 믿음. 부자가 되면 무엇을 할지 고민함,,
5,Day2_Oriental,Oriental,과거에 낙방한 의지박약 양반,"가문을 살려야 한다는 책임감이 있지만, 의지가 약해 공부하기 힘들어 함. 조언 구함",,
6,Day2_Western,Western,신관(인간),인생 첫 노숙에 잠을 설침. 풀벌레 소리가 들리지 않는 물약 요청,,
7,Day2_Animal,Animal,코끼리를 좋아하는 햄스터,코끼리에게 데이트 신청할 방법 조언,,
8,Day2_Future,Future,과거를 그리워하는 가난한 노인,기관지 질환을 앓고 있음. 집이 지저분해 더욱 기침이 나오는 것 같음. 집을 깨끗하게 해줄 물약 요청,,
9,Day3_Oriental,Oriental,,,,
10,Day3_Western,Western,,,,
11,Day3_Animal,Animal,,,,
12,Day3_Future,Future,,,,
